"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s добавлен в ваш список желаний. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s добавлен в ваш список желаний. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров."
"%1$s has been updated in your wishlist.","%1$s обновлён в вашем списке желаний."
"%d product(s) have been added to shopping cart: %s.","Добавлено в корзину: %d шт. (%s)."
"%s for ""%s"".","%s для ""%s""."
"%s has been moved to wishlist %s","%s перемещён в список желаний %s"
"%s's Wishlist","Список желаний пользователя %s"
"* Required Fields","* Обязательные поля"
"Please input a valid email address.","Пожалуйста, введите правильный адрес электронной почты (email)."
"Please, enter your comments...","Пожалуйста, введите ваши комментарии..."
"Product","Товар"
"Product Details and Comment","Информация о товаре и комментарии"
"Product(s) %s have required options. Each of them can be added to cart separately only.","У товаров %s есть обязательные параметры. Каждый из них может быть добавлен в корзину покупок только по отдельности."
"Product(s) %s have required options. Each product can only be added individually.","Товар(ы) %s с обязательными параметрами. Каждый товар может быть добавлен только индивидуально."
"RSS Feed","RSS канал"
"RSS link to %s's wishlist","RSS ссылка на список желаний (%s)"
"Remove Item","Удалить позицию"
"Remove This Item","Удалить эту позицию"
"Remove item","Удалить позицию"
"Requested cart item doesn't exist","Запрошенная позиция корзины не существует"
"Requested wishlist doesn't exist","Запрошенный список желаний не существует"
"Share Options","Параметры публикации"
"Share Wishlist","Опубликовать список желаний"
"Share Your Wishlist","Публикация вашего списка желаний"
"Sharing Information","Информация для публикации"
"This Wishlist has no Items","В этом списке желаний нет товаров."
"This product(s) is currently out of stock","Этого товара в данный момент нет в наличии"
"Unable to add the following product(s) to shopping cart: %s.","Эти товары невозможно добавить в корзину покупок: %s."
"Update Wishlist","Сохранить изменения в списке желаний"
"User Description","Описание пользователя"
"User description","Описание пользователя"
"View Details","Подробнее"
"View Product","Просмотреть товар"
"What's this?","Что это?"
"Wishlist","Список желаний"
"Wishlist Section","Раздел списка желаний"
"Wishlist Sharing","Публикация списка желаний"
"Wishlist could not be created.","Невозможно создать список желаний."
"Wishlist is empty now.","Список желаний очищен."
"You have no items in your wishlist.","В вашем списке желаний нет товаров."
"Your Wishlist has been shared.","Ваш список желаний опубликован."
